ticker,shares,total_cost,month,type,realized_gain,account
DFAI,1,39.56,2026-03,,,individual
DFIV,1,52.32,2026-03,,,roth
DGS,1,60.26,2026-03,,,roth
VNQI,1,47.42,2026-03,,,roth
VNQI,1,48.82,2026-02,sell,0.95,individual
DFAR,2,47.71,2026-02,sell,3.73,individual
VGLT,1,55.81,2026-02,sell,-1.10,individual
SCHG,2,62.07,2026-02,,,individual
TLT,1,87.29,2026-02,,,individual
DFSV,3,109.43,2026-02,,,roth
SCHX,1,27.10,2026-02,,,roth
VIOO,1,121.22,2026-02,,,roth
DFEV,2,74.05,2026-02,,,roth
SCHX,4,108.64,2026-02,,,roth
VNQ,1,91.50,2026-02,,,roth
DFIV,1,54.37,2026-02,,,roth
DFIS,2,70.84,2026-02,,,roth
SCHM,3,97.61,2026-02,,,roth
IMCV,1,87.84,2026-02,,,roth
DFSV,1,37.09,2026-02,,,roth
DISV,1,41.53,2026-02,,,roth
VNQI,1,48.83,2026-02,,,roth
DGS,1,59.30,2026-01,,,individual
DFUV,1,48.56,2026-01,,,individual
DFAU,1,47.83,2026-01,,,individual
VNQI,1,47.87,2025-10,,,individual
DFAI,1,37.01,2025-10,,,individual
DFAT,1,58.88,2025-10,,,individual
DFAU,1,46.21,2025-10,,,individual
SHYM,1,22.20,2025-10,,,individual
DFEV,2,64.01,2025-09,,,individual
DFAI,2,72.51,2025-09,,,individual
DFAR,2,48.11,2025-09,,,individual
DISV,2,70.84,2025-09,,,individual
SCHM,2,59.87,2025-09,,,individual
DFAE,1,31.24,2025-09,,,individual
SCHG,1,31.43,2025-09,,,individual
DFAU,1,45.29,2025-09,,,individual
VSS,1,142.97,2025-09,,,individual
VIOO,1,110.11,2025-09,,,individual
IMCV,1,79.62,2025-09,,,individual
DFIS,1,30.76,2025-09,,,individual
VTEB,1,48.96,2025-08,,,individual
DFAT,1,54.22,2025-08,,,individual
DFIV,1,43.24,2025-07,,,individual
DFEV,1,30.45,2025-07,,,individual
PZA,1,22.24,2025-06,,,individual
SCHM,2,53.77,2025-06,,,individual
DISV,1,30.64,2025-05,,,individual
IMCG,1,73.28,2025-05,,,individual
SCHG,1,23.01,2025-04,,,individual
SHYM,1,22.56,2025-04,,,individual
DGS,1,46.07,2025-04,,,individual
VTEB,1,50.13,2025-03,sell,0.11,individual
DFIV,1,39.81,2025-03,sell,9.25,individual
DFAE,5,131.38,2025-03,sell,14.18,individual
HYD,1,51.88,2025-03,sell,0.18,individual
BNDX,1,48.48,2025-03,sell,-0.48,individual
DFUV,1,41.24,2025-03,,,individual
VNQI,1,40.84,2025-03,,,individual
IWC,1,117.97,2025-03,,,individual
EFG,1,106.01,2025-03,,,individual
VTEB,1,50.19,2025-03,,,individual
DFIV,1,39.52,2025-03,,,individual
DFIP,1,41.80,2025-03,,,individual
DFGX,1,52.11,2025-03,,,individual
IEMG,2,107.75,2025-03,,,individual
DFIS,1,25.03,2025-01,,,individual
DFAE,1,26.72,2024-07,,,individual
DFAU,1,38.84,2024-07,,,individual
DFAT,1,54.05,2024-05,,,individual
DFAR,1,21.92,2024-05,,,individual
VGLT,1,56.91,2024-04,,,individual
HYD,1,51.70,2024-03,,,individual
DFAI,1,28.81,2024-02,,,individual
DFAU,1,34.19,2024-02,,,individual
DFAE,1,23.03,2024-01,,,individual
DFIS,1,23.36,2024-01,,,individual
DISV,1,24.09,2023-05,,,individual
BNDX,1,48.96,2023-03,,,individual
DFAR,2,43.98,2022-12,,,individual
VTEB,1,50.02,2022-12,,,individual
VONV,1,67.76,2022-12,,,individual
ISCG,1,37.16,2022-12,,,individual
DFAS,1,52.61,2022-12,,,individual
DFAU,3,83.79,2022-12,,,individual
DISV,1,22.06,2022-12,,,individual
SCHM,1,67.17,2022-12,,,individual
DFAT,1,45.01,2022-12,,,individual
DFIV,1,30.56,2022-12,,,individual
DFIS,2,43.18,2022-12,,,individual
DFAE,3,67.45,2022-12,,,individual
DFAI,3,76.19,2022-12,,,individual
